image_urls, collection, material, size
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PHWV-92-0005.jpg, BASIS, Hand Loom- Wool And Viscose, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LM-1002-0001.jpg, ZURI, Hand Knotted- Wool, 180x270 - 300x420 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TX-2091-0001.jpg, TESORO, Hand Loom- Wool, 150x240 - 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_GI-07-0044.jpg, NOMADIC THREADS, Flat Weaves- Jute And Hemp, 120x180 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HWT-18-0001.jpg, TESORO, Hand Loom- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TNQ-3231-0014.jpg, CALIEDO, Hand Tufted- Wool And Viscose, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HWB-1006-0001.jpg, ACAR, Hand Loom- Wool And Bamboo Silk, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HWV-70-0002.jpg, APREZO, Hand Loom- Wool And Viscose, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RN_HPV-201-0006.jpg, TESORO, Hand Loom- Viscose, 102x450 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PDJR-01-0003.jpg, NOMADIC THREADS, Flat Weaves- Rayon Chenille And Jute, 165x225 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HWV-51021-0001.jpg, BASIS, Hand Loom- Wool And Viscose, 295x23 - 218x40 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_GI-07-0021.jpg, NOMADIC THREADS, Flat Weaves- Jute And Hemp, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PDWL-497-0002.jpg, ABRASH, Flat Weaves- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PDJT-466-0001.jpg, NOMADIC THREADS, Flat Weaves- Jute And Hemp, 165x225 - 200x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PKWL-730-0001.jpg, ZURI, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PDJT-121-0014.jpg, NOMADIC THREADS, Flat Weaves- Jute And Hemp, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ADWV-28-0001.jpg, ABRASH, Flat Weaves- Wool And Viscose, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PHPV-154-0001.jpg, BASIS, Hand Loom- Viscose, 120x180 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PX-01-0038.jpg, HULA, Hand Knotted- Jute And Hemp, 150x240 - 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HWV-2000-0016.jpg, BASIS, Hand Loom- Wool And Viscose, 240x90 - 175x413 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PX-01-0071.jpg, HULA, Hand Knotted- Jute And Hemp, 150x240 - 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PDJT-74-0001.jpg, NOMADIC THREADS, Flat Weaves- Jute And Hemp, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PX-03-0005.jpg, HULA, Hand Knotted- Jute And Hemp, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PDJW-109-0003.jpg, NOMADIC THREADS, Flat Weaves- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-1375-0001.jpg, ZURI, Hand Knotted- Wool, 105x180 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HWL-118-0001.jpg, TESORO, Hand Loom- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HWL-17-0001.jpg, TESORO, Hand Loom- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PHPV-20-0021.jpg, BASIS, Hand Loom- Viscose, 120x180 - 360x450 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HWJ-01-0006.jpg, TESORO, Hand Loom- Wool And Bamboo Silk, 150x240 - 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PDJR-01-0002.jpg, NOMADIC THREADS, Flat Weaves- Rayon Chenille And Jute, 165x225 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HNL-19-0001.jpg, APREZO, Hand Loom- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HWL-43-0009.jpg, TESORO, Hand Loom- Wool, 150x287 - 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TNQ-32180004.jpg, CALIEDO, Hand Tufted- Wool And Viscose, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HWT-29-0001.jpg, TESORO, Hand Loom- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HWL-76-0002.jpg, TESORO, Hand Loom- Wool, 150x240 - 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-289-0001.jpg, ZURI, Hand Knotted- Wool, 120x150 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PX-01-0053.jpg, HULA, Hand Knotted- Jute And Hemp, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAEM-1096-0001.jpg, ZURI, Hand Knotted- Wool, 210x405 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TRA-3204%28MD%29-02.jpg, CALIEDO, Hand Tufted- Wool And Viscose, 270x360 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PHPV-20-0034.jpg, BASIS, Hand Loom- Viscose, 210x420 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HWV-42-0002.jpg, BASIS, Hand Loom- Wool And Viscose, 360x450 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/IR_ADWL-13198-0004.jpg, ALHAMBRA, Flat Weaves- Wool, 180x180 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/IR_ADWL-124-0001.jpg, DAAIRA, Flat Weaves- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HWL-55-0036.jpg, TESORO, Hand Loom- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HWL-1600-0002.jpg, TESORO, Hand Loom- Wool, 200x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HWV-51013-0001.jpg, ACAR, Hand Loom- Wool And Viscose, 150x210 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ADWL-13187-0001.jpg, APREZO, Flat Weaves- Wool, 120x180 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TRA-50074-0001.jpg, PATHWAYS, Hand Tufted- Wool And Viscose, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HWL-76-0001.jpg, TESORO, Hand Loom- Wool, 180x270 - 360x450 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TRA-14467-0001.jpg, LINEAR, Hand Tufted- Viscose, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ADWV-29-0001.jpg, ABRASH, Flat Weaves- Wool And Viscose, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PX-1454-0004.jpg, TESORO, Hand Loom- Wool, 390x735 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HWL-55-0024.jpg, TESORO, Hand Loom- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PHWV-42-0005.jpg, BASIS, Hand Loom- Wool And Viscose, 270x390 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HPV-7007-001.jpg, BASIS, Hand Loom- Viscose, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LES-1362-0001.jpg, ANTRIKSH, Hand Knotted- Wool And Bamboo Silk, 270x360 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PDWL-678%20-CS-02-01.jpg, ABRASH, Flat Weaves- Wool, 120x180 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HWL-13014-0001.jpg, TESORO, Hand Loom- Wool, 300x420 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HWL-94-0001.jpg, TESORO, Hand Loom- Wool, 150x240 - 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PKHM-12%28OD%29-0001.jpg, HULA, Hand Knotted- Jute And Hemp, 240x300 cm
